Id,Text,Class,Filtered_sentence
372, රංගේ ඉන්නවා කොහොමත් මෙෙත්‍රීගේ සෙල්ලම් තව උපරිම උනොත් දවස් යි 😂,Political,රං ඉන් කොහොම මෙෙත්‍රී සෙල්ල උපරි උන දවස යි 😂
373,බේරු­වල හොරො­යින් තොගයේ සැක­ක­රුවෝ රිමාන්ඩ් ,Neutral,බේරු­ හොරො­ය තොග සැක­ක­ර රිමාන්ඩ
374,තිලා උඹ එදා මේ කෙල්ලට මතුරපු නාරං කැවුමක් කැව්ව නේද ඇත්ත කියාපන් මට සැක හිතුන ළඟටම වෙලා ඉඳගෙන හිටපු විදිහට 🤨🤨 ,Neutral,ත උබ එදා කෙල්ල මතුර නාරං කැවුම කැව් නේද ඇත්ත කිය මට සැක හිතු ලගට වෙ ඉදගෙ හිට විදිහ 🤨🤨
375,   ෆේක් එකක් කියලා හිතලා බ්ලොක් කරනවා තව ටිකෙන්😂,Neutral,ෆේ එක කිය හිත බ්ලො කර ටිකෙන්😂
376,  අනේ පල හුත්තො තොපේ මහ එකාගෙ දවසක වියඳම කීයද ඒ දවස් වල,Sexism,පල හුත්ත තොප එකාග දවසක වියද කීය දවස වල
377,   එන්න එන්න දැන් පරක්කු නෑ මුළ ටික හෙට  එකෙන් අහමු ඊට පස්සේ ආයම 🙊,Neutral,එ එ පරක් මුල ටික හෙට එ අහ ඉට පස්ස අයම 🙊
378, හා මම ලංකාවට ආපු දවසක ඔයාගේ මාළූ පාන් හදලා දෙන්න,Neutral,මම ලංකාව අපු දවසක ඔ මාල පා හද දෙ
379,  අපිටත් එහෙම කරයිද දන් නෑ දවසක 😥😥😥,Neutral,අපි එහෙ කරයි දන් දවසක 😥😥😥
380,හිතලා ට්වීට් දානවට වඩා ඩුබ් ගහන එක නම් 😍✋🤝,Neutral,හිත ට්වීට දානව ඩුබ ගහන එක 😍✋🤝
381, බෑනෙ මැටිබෝලෙ කරන්නගමේ කෙල්ලො ගැන හිතලා නොයා ඉන්නවා 😂✌🏽  අර නාඩගමේ රජාට ඇන්ද සීන් එක වෙන්නෙ නැත්තන් 🤭,Neutral,බෑන මැටිබෝල කරන්නග කෙල්ල හිත නො ඉන් 😂✌🏽 අර නාඩග රජා ඇන් සී එක වෙන්න නැත්ත 🤭
382, ගහමුපතා එකේ දවසක😁,Neutral,ගහමුපත එකේ දවසක😁
383,නංගි තරහ වෙලා කියහල්ලකො ඕක කෙල්ලට ආරංචි උනොත් කෙලින්ම නෑන පොඩ්ඩගෙ පැත්ත අරන් මාව බලයෙන් පහ කරනව කියහල්ලකො😌,Neutral,නංගි තරහ වෙ කියහල්ලක ඔක කෙල්ල අරංචි උන කෙලින් නෑන පොඩ්ඩග පැත්ත අර මාව බල පහ කරන කියහල්ලකො😌
384,එක දවසක අපි නුපුරුදු සුවඳක හිත හෙමිහිට බැඳුනා අප හමුවුණු හිනැහුණු මතකය  සසර පුරුදු හැඟුණා  🖤🖤🖤 — feeling loved,Neutral,එක දවසක අපි නුපුරුද සුවදක හිත හෙමිහි බැදු අප හමුව හිනැහ මතක සසර පුරුද හැග 🖤🖤🖤 — හැගී අදරය කල
385, 😂😂😂😂 ආපු දවසක පෙනන,Neutral,😂😂😂😂 අපු දවසක පෙන
386, 😂😂😂 මේකට මොනාට් උනොත් මං ආයෙ ටුයිටර් නෑහ් 😂🤘,Neutral,😂😂😂 මේක මොනාට උන මං අයෙ ටුයිටර නෑහ 😂🤘
387, උදම්මිට පාරෙන් එන දවසක අනිවා එනවා ඔන්න,Neutral,උදම්මි පාර එන දවසක අනි එ
388, මම හොයලා හිතලා නෑ ඇහෙන යමක් විතරයි,Neutral,මම හොය හිත ඇහෙ යම විතර
389, ම්ම්ම්ම් බැරිවෙලාවත් සැන්ටා උනොත් මුලින්ම හොයලා දෙන්නේ ඔයාට එහෙනම් ☺️,Neutral,ම්ම්ම් බැරිවෙලා සැන්ට උන මුලින් හොය දෙ ඔයා එහෙන ☺️
390,විද්‍යාත්මක ව හිතලා කාන්තා කටයුතු හා වියලි කලාප සංවර්ධන අමාත්‍යාංශය හැදුවා දැන් කාන්තාවන් ගේ වියලි කලාප සංවර්ධනය වෙයි මේම මේම,Neutral,විද්‍යාත් ව හිත කාන්ත කටයුත වියලි කලාප සංවර්ධ අමාත්‍යාංෂ හැද කාන්තා වියලි කලාප සංවර්ධන වෙ මේම මේම
391, වටයක් දෙකක් දාලා බැරිම උනොත් හිස් අතින් ෆිටෝන් එකට ගිහින් ආයේ වරෙන් 😂,Neutral,වටය දෙක දා බැරි උන හිස අත ෆිටෝ එකට ගිහ අයේ වර 😂
392,අනේ නිකන් ඉන්නව සංජු අක්කෙ 😂 ඔයාහෙ යිද ලිස්ට් එක 🙊🙊 ආයෙ හදන් නෑමයි මේකට මොනාහරි උනොත් 😂 ,Neutral,නික ඉන්න සංජ අක්ක 😂 ඔයාහ යිද ලිස්ට එක 🙊🙊 අයෙ හද නෑම මේක මොනාහරි උන 😂
393, එහෙම උනොත් නම් ලොකු දෙයක් 😭♥️,Neutral,එහෙ උන ලො දෙය 😭♥️
394, ඔව් ඉතින් දෙකක් හදලත් මෙහෙම උනානෙ මේකටත් එහෙම උනොත් ආයෙ හද න්නද  බෑනෙ,Neutral,ඔව් දෙක හදල මෙහෙ උනාන මේක එහෙ උන අයෙ හද න්න බෑන
395,සමහරු කතා කරන්නේ නිකන් ජනාධිපතිපති හිතලා කට්ටියව පත් කරනවා වගේනේ 😂😂😂  පව් අර අහිංසකයා 😁😂,Political,සමහර කතා කර නික ජනාධිපතිප හිත කට්ටිය පත් කර වගේන 😂😂😂 පව් අර අහිංසක 😁😂
396, හා බායි එහෙනම් 😂 මොනාහරි උනොත් බායි කියන්න වෙන්නෙත් නෑනෙ 😂😂😂😂,Neutral,බා එහෙන 😂 මොනාහරි උන බා කිය වෙන්නෙ නෑන 😂😂😂😂
397, හහා 😂😂😂 එහෙමවත් සෙට් උනොත් තමා අපිට,Neutral,හහා 😂😂😂 එහෙම සෙට උන තමා අපි
398,අර්ජුන් ඇලෝසියස් හදිසියේ අසනීප වෙයි  ඩෙංගුදැයි සැක  ,Neutral,අර්ජ ඇලෝසියස හදිසි අසනීප වෙ ඩෙංගුදැ සැක
399,අර්ජුන් ඇලෝසියස් හදිසියේ අසනීප වෙයි  ඩෙංගුදැයි සැක  ,Neutral,අර්ජ ඇලෝසියස හදිසි අසනීප වෙ ඩෙංගුදැ සැක
400, නෑ නෑ නෑ 😂😂😂 පරණ එක හදාගත්තොත් ඉන්නව මේකටත් ඒකම උනොත් එන්නෙ නෑ නෑ නෑ නෑ නෑ,Neutral,😂😂😂 පරන එක හදාගත් ඉන්න මේක එකම උන එන්න
401,මම මේක නැති උනොත් ආයෙ ටුයිටර් එන්නෙ නෑ 😂 ,Neutral,මම මේක නැ උන අයෙ ටුයිටර එන්න 😂
402, හා එහෙනම් 😏 ආයෙ ඉතින් මේකත් නැති උනොත් නම් හදන්නෙ නෑමයි එකක් 😂 පරණ එක හරි ගියොත් නම් 😍😍😍😍😍😍😍😍😍😍,Neutral,එහෙන 😏 අයෙ මේක නැ උන හදන්න නෑම එක 😂 පරන එක හරි ගිය 😍😍😍😍😍😍😍😍😍😍
403,මේකටත් මොනාහරි උනොත් ආයෙ ටුයිටර් එන්නෙ නෑ 😂👋,Neutral,මේක මොනාහරි උන අයෙ ටුයිටර එන්න 😂👋
404,  😂😂😂 මාත් දැම්මා එහෙම හිතලා,Neutral,😂😂😂 මා දැම්ම එහෙ හිත
405,අර්ජුන් ඇලෝසියස් හදිසියේ අසනීප වෙයි  ඩෙංගුදැයි සැක  ,Neutral,අර්ජ ඇලෝසියස හදිසි අසනීප වෙ ඩෙංගුදැ සැක
406,අර්ජුන් ඇලෝසියස් හදිසියේ අසනීප වෙයි  ඩෙංගුදැයි සැක  ,Neutral,අර්ජ ඇලෝසියස හදිසි අසනීප වෙ ඩෙංගුදැ සැක
407,    පබා අපි ආයෙම දවසක කතා කරමු,Neutral,පබා අපි අයෙ දවසක කතා කර
408,සත්තයි දවසක ඔබ හඩනවා මම හඩන තරමටම,Neutral,සත්ත දවසක ඔබ හඩ මම හඩන තරමට
409,අපි ආයේ ඒ ගැන දවසක කතා කරමු ,Neutral,අපි අයේ දවසක කතා කර
410,  වැඩිම උනොත් ඇවිත් haha emoji එකක් දාල යාවි 😂😂,Neutral,වැඩි උන ඇවි   එක දාල යාවි 😂😂
411, ඔයා තමා වගකියන්න ඕනෙ ඔහොම කියල මට මොනාහරි උනොත් 😏😭,Neutral,ඔයා තමා වගකිය ඔනෙ ඔහො කිය මට මොනාහරි උන 😏😭
412, ✋😂 දවසක හාද,Neutral,✋😂 දවසක හාද
413,නුඹ නැතුව හිත හැදෙන් නෑ ළඟට ඇවිදින් අඬන් නෑ ලැබෙන දවසක ලැබෙනවා නම් සිතින් කිසිදින හැලෙන් නෑ සිතුවිලි,Neutral,නුබ නැත හිත හැ ලගට ඇවිද අඬ ලැබෙ දවසක ලැබෙ සිත කිසිදි හැල සිතුව
414, එන්නේම නැති උනොත්,Neutral,එන්නේ නැ උන
415, බොහෝම ස්තූතියි අයේසෝ ඉක්මනට දවසක හම්බෙමු තිසූගෙන් කේක් ගන්නත් තියේ,Neutral,බොහෝ ස්තූති අයේස ඉක්මන දවසක හම්බ තිසූ කේ ගන්න ති
416, උඹ දැන් වැඩ කරන තනේ නැති උනොත් එහා තනට පැනපං ගොඩං වෙලාවට ඔව්වා එක වගේ 😂😂🤣,Neutral,උබ වැඩ කරන තනේ නැ උන එහා තනට පැනපං ගොඩං වෙලාව ඔව් එක වගේ 😂😂🤣
417,🍃 අපි ආයෙත් හමු නොවුනා නම් ඉස්සර දවසක මියගිය සෙනෙහස  යලි ඉපදී මා හද හඬවන්නට අපි ආයෙත් හමු නොවුනා නම්🍂  සදාකාලිකනොවූලෝකේ,Neutral,🍃 අපි අයෙ හමු නොවු ඉස්සර දවසක මියග සෙනෙහස ඉපද මා හද හඬවන්න අපි අයෙ හමු නොවු නම්🍂 සදාකාලිකනොවූලෝ
418,  ආයේ ඒවා ගැන හිතලා හිත මෙව්වා කර ගන්න එපා,Neutral,අයේ එවා හිත හිත මෙව් කර ග එපා
419, එල එල නැත්තන් අපෙ අම්මලගෙ ගමේ එන දවසක මම එනවා ඔහේ😂😂😂,Neutral,එල එල නැත්ත අපෙ අම්මලග ගමේ එන දවසක මම එ ඔහේ😂😂😂
420, අාහ් එහෙමද එල පස්සෙ දවසක සෙට් වෙමු එහෙනම්,Neutral,අාහ එහෙම එල පස්ස දවසක සෙට ව එහෙන
421, අගමැති උනොත් මට රස්සාවක් දෙන්න අක්කේ,Neutral,අගමැ උන මට රස්සාව දෙ අක්
422, බැරිම උනොත් වරෙන් මෙහෙ ගහල කීයක් හරි හොයන් ජීවත් වෙමු මම කීවේ ෆොටෝ ගහල,Neutral,බැරි උන වර මෙහ ගහල කීය හරි හො ජී ව මම කී ෆොට ගහල
423, ඒ makeup කරන දේවල් නෙමෙඅනික මං makeup කරන්න දන්නේ නෑ 😂 වැඩිම උනොත් lipstick සහ eye liner පාවිච්චි කරයි 😂,Neutral, කරන දේ නෙමෙඅනික මං  කර ද 😂 වැඩි උන    පාවිච්චි කර 😂
424, හම්මේ ඉතින් 😂👊 මේ මාසෙ ෆුල් බිසී නසියරේ හම්බවෙමුකො දවසක 🖤,Neutral,හම් 😂👊 මාස ෆුල බිස නසියර හම්බවෙමුක දවසක 🖤
425, දවසක එන්නම් බීලා යන්න 🍻,Neutral,දවසක එන්න බී ය 🍻
426, අපි හිතලා ඒක කරලා දෙමු අකැමැති වෙන්න දෙයක් නෑ අපි දෙන්නට කැමතියිනේ 😏,Neutral,අපි හිත එක කර ද අකැමැ වෙ දෙය අපි දෙන්න කැමතියින 😏
427,  කෝමත් දවසක මීට් වෙමුකෝ 😊,Neutral,කෝම දවසක මීට වෙමුක 😊
428, තවමනෑ ඉස්සරහට නැති උනොත් කියන්නම්කො,Neutral,තවමනෑ ඉස්සරහ නැ උන කියන්නම්ක
429,  සස් පෙන් අනේ ඇන්ටිගේ යාලුවෙක් උනොත් කියල කියන්නෙ 😂,Neutral,සස් ප ඇන්ටි යාලුව උන කිය කියන්න 😂
430,  මොන පෙන් උනොත් ,Neutral,මොන ප උන
431,අහල පහල ගෙදරකින් රතුමකරාFM එකේ ඔටෝ ප්ලේ යන සිංදු වගේ සෙට් එකක් ඇහෙනවා 🤔 සැක සහිතයි,Neutral,අහල පහල ගෙදර රතුමකරා එකේ ඔටෝ ප්ල සිංද වගේ සෙට එක ඇහෙ 🤔 සැක සහිත
432,  ඔය රිප්ලයි එක මකාං යකෝ බඩු බනිස්වෙයි ඉංගිරිසියෙන් ප්‍රොනව්න්ස් උනාට අකුරු සිංහල උනොත් කේස්,Neutral,ඔය රිප්ල එක මකාං යකෝ බඩු බනිස්වෙ ඉංගිරිසි ප්‍රොනව්න්ස උනා අකුර සිංහ උන කේස
433,මාගේ දෑස දෙස බලනු මෙතැන් පටන් ඔබ ඇසිපිය ගහන්නෙ හිතින් හිතලා,Neutral,ම දෑස දෙස බල මෙතැ ඔබ ඇසි ගහන්න හිත හිත
434,අපෙ ගෙවල් පැත්ත අරාබිය වගෙ උනාට මෙ ලගදි දවසක රුවැති යුවැතියක් පැමිනියා  අම්මො අම්මො,Neutral,අපෙ ගෙ පැත්ත අරාබ වගෙ උනා මෙ ලගදි දවසක රුවැ යුවැතිය පැමිනි අම්ම අම්ම
435,ජිම් යන එකට් එපා වෙලා තියෙන්නෙ කිලෝ දෙකක් වැඩි උනොත් ඊලග සතියෙ කිලෝ තුනක් අඩු වෙනවා😑,Neutral,ජි එකට එපා වෙ තියෙන්න කිල දෙක උන ඉලග සතිය කිල තුන අඩු වෙනවා😑
436,හින්ගුරගෝඩාවේ පුද්ගලයෙක් තෙරෝ දේශපාලනයෙන් විශ්‍රාම ගන්නා ලෙස ඉල්ලා උපවාසයක යෙදී සිටී,Racist,හින්ගුරගෝඩ පුද්ගලය තෙර දේෂපාලන විෂ්‍රා ගන් ඉ උපවාස යෙද සිට
437,ලෝගන් කෝ සුඛියා කෝ අරූ කෝ මු කෝ කියලා අහන උන් තමා කවදාහරි බැන්ඳ දවසක ගෑණි කෝ කියලා හොයන්නේ 🙄,Neutral,ලෝග කෝ සුකි කෝ අරූ කෝ මු කෝ කිය අහන උන් තමා කවදාහරි බැන්ද දවසක ගෑනි කෝ කිය හොය 🙄
438,හොයලා හොයලා කොල්ලෙක් හොයා ගන්නම බැරි උනොත් මම හම්සව බදිනවා,Neutral,හොය හොය කොල්ල හො ගන්න බැරි උන මම හම්ස බදි
440,දත් දොස්තර කෝ මගෙ වෙඩිමට පරක්කු වෙනවා,Neutral,දත් දොස්තර කෝ මගෙ වෙඩිම පරක් වෙ
441,බීලා මාට්ටු උනොත් වල් අලි ගහනවා යකෝ 😂,Neutral,බී මාට්ට උන වල් අලි ගහ යකෝ 😂
442,උඹල මෙහෙම සබ් ගහනවා කියලා දන්නවනම් මම දවසක් පරක්කු⁣ වෙලා ඉපදෙනවා   මීට චෙත්‍යා,Neutral,උබල මෙහෙ සබ් ගහ කිය දන්නවන මම දවස පරක්කු⁣ වෙ ඉපදෙ මීට චෙත්‍
443, මම සැක කලා   ඒ දරුවා මුල සිටම මං ගැන අමනාපෙන් හිටියේ ඉතින් මමත් ඒ වගේ අය පැත්තකට කරලා නොසොයා හිටියේ ඒකයි එක පාර මතක නැති උනේ  හැබැයි එයාගේ බුදු ෆිට් ලිස්ට් එකේ ඔයත් හිටියද කීයටවත් වෙන්න බෑ,Neutral,මම සැක කලා දර මුල සිට මං අමනාප හිටි මම වගේ අය පැත්තක කර නොසො හිටි එක එක පාර මතක නැ උනේ හැබැ එ බුද ෆිට ලිස්ට එකේ ඔ හිටිය කීයට වෙ බෑ
444,ඉරාකය ඇෆ්ගනිස්ථානය පකිස්ථානය සිරියාව ලිබියාව සහ තවත් රටවල් වල ලමයි ජනතාව මරනව live බලව් හිටපු ඔබාමා නියම පාලකයෙක්ලු  Check out ’s Tweet ,Neutral,ඉරාක ඇෆ්ගනිස්ථාන පකිස්ථාන සිරියා ලිබියා රට වල ලම ජනතා මරන  බල හිට ඔබාම නිය පාලකයෙක්ල   ’  
445,සිංගප්පූරුව දියුණු කරපු මිනිහා වැඩ පටං ගත්තේ මෙන්න මෙහෙමයි ඒයා ලඟ තිබුනේ කාරණා තුනයි උවමනාව කැපවීම සහ හැකියාව   රටවල් දියුණු කරන්න දේශපාලන experience අනිවාර්ය නෑ lka GR ,Neutral,සිංගප්පූර දිය කර මිනිහ වැඩ පටං ගත්ත මෙහෙම එයා ලග තිබුන කාරන තුන උවමනා කැපවී හැකියා රට දිය කර දේෂපාල  අනිවාර් ‍ෂ්‍රී ලංකා 
446,ඉරාකය ඇෆ්ගනිස්ථානය පකිස්ථානය සිරියාව ලිබියාව සහ තවත් රටවල් වල ලමයි ජනතාව මරනව live බලව් හිටපු ඔබාමා නියම පාලකයෙක්ලු  ළමයි මැරුවට මොකද නත්තලට ළමයින්ට බඩු බෙදුවනේ🎅🎅🎅 මේව රඟපෑම් එහෙම නෙමෙයි හොඳෙ ,Neutral,ඉරාක ඇෆ්ගනිස්ථාන පකිස්ථාන සිරියා ලිබියා රට වල ලම ජනතා මරන  බල හිට ඔබාම නිය පාලකයෙක්ල ලම මැරුව මොක නත්තල ලමයින් බඩු බෙදුවනේ🎅🎅🎅 මේව රගපෑ එහෙ නෙමෙ හොද
447, දන්නේ නෑ මෙයා සුද්දා ගල විද්ද නිසා තමයි අපි යාන්තම් කොළඹ හරි යන්නේ නුවර අපිට එහෙම මහලොකු දැනුමක් නැහැ ඒකයි ඇත්ත අනිත් රටවල් වලත් එහෙමද කියන්න එහේ යන්න තියා ඉන්ටර්නෙට් එකේ සර්ච් කරලා ඒ දේවල් බලන්නවත් අපිට ඉංග්‍රීසි දන්නේ නෑ 😢,Neutral,ද මෙ සුද්ද ගල විද් තම අපි යාන්ත කොලබ හරි ය නුවර අපි එහෙ මහලො දැනුම නැහැ එක ඇත්ත අනි රට  එහෙම කිය ය ති ඉන්ටර්නෙට එකේ සර්ච කර දේ බලන්න අපි ඉංග්‍රීසි ද 😢
448,lt මගේ ආදරේ තවමත් ඒ වගේ සොදුරු කතාවක් වගේ නුබේ හීනයේ දැවටී එදා වගේ ඉන්න ආසයි තවමත් හිතේ  දවසක නුබ හා මේ ගී පද ගැලපු  තනුවක් වාගේ නුබ මට මියුරු  එන මග සරසා නුබ යනවිට තනිවූ  දවසක් ඒවිද ආයෙත් නුබ මට හිමි වූ lt ,Neutral, මගේ අදර තවම වගේ සොදුර කතාව වගේ නුබ හීන දැවට එදා වගේ ඉ අස තවම හිත දවසක නුබ ගී පද ගැල තනුව  නුබ මට මියුර එන මග සරස නුබ යනවි තනිව දවස එවි අයෙ නුබ මට හි වූ 
449,                                                 මේ ගිවිසුම හරහා අපේ රටේ සේවා ටික සිංගප්පූරුවට පමණක් නොවෙයි පාවලා දීලා තිබෙන්නේ ඉන්දියාව චීනය මැලේසියාව කියන රටවල් හමුවේ පාවලා දීලා තිබෙනවා  අපේ රට සුද්දාට විතරයි යටත් වුණේ නමුත් ලෝකයේ සියලු රටවල් හමුවේ අපිව පාවා දීලා ඉවරයි මේ  ,Neutral,ගිවිසු හරහ අපේ රටේ සේ ටික සිංගප්පූරුව පමන නොවෙ පාව දී තිබෙ ඉන්දියා චීන මැලේසියා කිය රට හම පාව දී තිබෙ අපේ රට සුද්දා විතර ය ව ලෝක සියල රට හම අපි ප දී ඉවර
450,වැරදි දැක්කත් ඒවා ප්‍රසිද්ධ කරලා තමන්ගෙ ආගම ගැන තියන වටිනාකමබක්තිය අන්ආගමිකයන් ඉස්සරා නැති කර ගන්නෙ නෑඅපිට හිතන්න සෑහෙන්න දේවල් තියෙනවා රැඩිකල් විදිහට හිතලා ටෑටු එකක් සාධාරණීකරනය කරන්න කලින්,Religion,වැරදි දැක්ක එවා ප්‍රසිද්ධ කර තමන්ග අගම තිය වටිනාකමබක්ත අන්අගමික ඉස්සර නැ කර ගන්න නෑඅපි හිත සෑහෙ දේ තියෙ රැඩිකල විදිහ හිත ටෑට එක සාධාරනීකරන කර කල
451,එන්න දවසක ඇවිත් මගෙ හදවතත් මෙගා පික්සල් බිලියන විසිහතරදාකට කඩල සූම් කරල බලන්න ඒ හැම කොන්ටම් අංශුවකම ආදරේ තියේවි ඔයාගෙ නමින් ලියවිලා හැමදාටම  ❤️  යෝයෝ බොබී,Neutral,එ දවසක ඇවි මගෙ හදව මෙග පික්සල බිලිය විසිහතරදාක කඩල සූ කරල බල හැම කොන්ට අංෂුවක අදර තියේවි ඔයාග න ලියව හැමදාට ❤️ යෝ බොබ
452,ඔයාටත් ඉන්නවද  පාරෙ යද්දි අඳුරන අය ඉස්සරහට එද්දි අත අතාරින   ඔයා එයාගෙ යාලුවෙක් විතරයි කියලා හැමෝටම කියලා තියන   හැම තිස්සෙම නිදහසට කාරණා කිය කිය කාර්‍යබහුල බව අඟවන ඒත් online ඉන්න  හැම දේටම බොරුවට සැක කරන හේතු හදාගෙන තරහ වෙන   කෙනෙක් 😔😔,Neutral,ඔයා ඉන්නව පාර යද්දි අදුර අය ඉස්සරහ එද්දි අත අතාරි ඔයා එයාග යාලුව විතර කිය හැමෝට කිය තිය හැම තිස්සෙ නිදහස කාරන කිය කිය කාර්‍යබහු අගව එත්  ඉ හැම දේට බොරුව සැක කරන හේත හදාගෙ තරහ කෙන 😔😔
453,මේම පැටලැවිල්ලක් උනොත් තමා අපිට කෝල් එන්නේ නැත්තම් කොල් කරන්නේ අර dialog එකෙන් බූට් සින්දු call a tune දාගන්න කියන කෝල් එක තමා😂😂 ,Neutral,මේම පැටලැවිල්ල උන තමා අපි කෝල එ නැත්ත කොල කර අර  එ බූට සින්ද    දාග කිය කෝල එක තමා😂😂
454,අතීතයට ගිහින් දේවල් වෙනස් කරනවා කියන මිත්‍යාව මිත්‍යාවක් ලෙසටම හැමදාම තියෙනවනම් හොඳයි අනාගතයක් කියලා දෙයක් නැත්තටම නැති වෙන්න පුලුවන් එහෙම උනොත්,Neutral,අතීතය ගිහ දේ වෙනස කර කිය මිත්‍යා මිත්‍යාව ලෙසට හැමදා තියෙනවන හොද අනාගතය කිය දෙය නැත්තට නැ වෙ පුලු එහෙ උන
455,ගෙදරින් පිට බෝඩිං වල ඉන්නකොට ගෙදර වෙන කිසිම අවුලක් තාත්තා මට කියන්නෙ නෑ වෙන අයට කියන්න දෙන්නෙත් නෑ අම්මා මොකක් හරි කියන්න යනකොට පැනලා ඒක නවත්තනවා  ඒ මම ඒවා හිතට අරන් ඔළුවට වදයක් කරගනී කියලා හිතලා ලු  තාත්තලාගෙ ආදරේ හරි වෙනස් ගැඹුරුයි සමහරවිට තේරුම්ගන්නත් අමාරුයි 😌❤️,Neutral,ගෙදර පිට බෝඩිං වල ඉන්නකො ගෙදර කිසි අවුල තාත්ත මට කියන්න අයට කිය දෙන්නෙ අම්ම මොක හරි කිය යනකො පැන එක නවත්ත මම එවා හිත අර ඔලුව වදය කරගන කිය හිත ලු තාත්තලාග අදර හරි වෙනස ගැබුරු සමහරවි තේරුම්ගන්න අමාරු 😌❤️
456,මට ජිවිතේ කවදාකවත් නුවර යන්න හේතුවක් ඕනි වුණේ නෑ දළදා මාලිගාව ඉස්සරහින් වැව දිගේ යද්දී  මාලිගාවෙන් එන සුවද  ඒ මගුල්බෙර වාදනය නිසා හිතට පුදුම සැහැල්ලුවක් දැනෙන්නේ මේ අවුරුදු ගානටම සෙරෙප්පු දෙක හිතලා ගලවනවා නෙවෙයි  කකුල් වලින් සෙරෙප්පු දෙක ගැලවෙනවා ශ්‍රී දන්ත ධාතුව 👇,Religion,මට ජිවිත කවදාක නුවර ය හේතුව ඔනි ව දලද මාලිගා ඉස්සරහ වැව දි ය මාලිගා එන සුව මගුල්බෙර වාදන හිත පුදු සැහැල්ලුව දැනෙ අවුරුද ගානට සෙරෙප් දෙක හිත ගලව නෙවෙ කකුල  සෙරෙප් දෙක ගැලවෙ දන්ත ධාත 👇
457,‌සමහර එවුන් මේකට එන්නෙම කෙනෙක් කරන වැඩේ නතර කරලා මොකක් හරි පොර ටෝක් එකක් දීලා යන්න උන් කරන්නෙත් නෑ කරන එවුන්ට කරන්න දෙන්නෙත් නෑ ඕකුන් තමයි කවදාහරි බැන්ද දවසක පලමු රාත්‍රීයේ යාලුවන්ට කෝල් කර කර  ඒ මචන් මොකෝ බං මං දැන් කරන්න ඕන නිදාගත්තට කමක් නැද්ද  කිය කිය ඇඩ්වයිස් ගන්නේ 😅,Neutral,‌සමහර එව මේක එන්නෙ කෙන කරන වැඩ නතර කර මොක හරි පොර ටෝ එක දී ය උන් කරන්නෙ කරන එවුන් කර දෙන්නෙ ඔක තම කවදාහරි බැන් දවසක පල රාත්‍රී යාලුවන් කෝල කර කර මච මොක බං මං කර ඔන නිදාගත්ත කම නැද් කිය කිය ඇඩ්වයිස ග 😅
458,ජනපතිගේ බලතල අඩුකරනසේ මාරයා    වර්ධරාජා පෙරැමල් ඊළාම් රාජ්‍යයක් ප්‍රකාශයට පත්කල විට ප්‍රේමදාස ජනපති වහාම පලාත් සභාව විසරැවා හැරිමෙන් උතුරේ ඊළම් රාජ්‍යය එදා වැළකුනා  අද න් ජනපතිගේ බලතල කප්පාදුවක් සිදු උනොත් රට ජාතියට සිදුවන බරපතල වරද යලි හදනු බෑ පිහිට වූ ඊළම යලි ගනුත් බෑ🤔,Racist,ජනපති බලත අඩුකරනස මාර වර්ධරාජ පෙරැමල ඉලා රාජ්‍යය ප්‍රකාෂය පත්ක ප්‍රේමදාස ජනප වහා පලා සබා විසරැ හැරි උතුර ඉල රාජ්‍ය එදා වැලකු අද න් ජනපති බලත කප්පාදුව උන රට ජාතිය සිදුව බරපත වරද හද බෑ පිහි වූ ඉලම ගනු බෑ🤔
459, අපාරාදෙ කියන්නෙ බැ මෙකෙ ඉන්න මිනිසුන් කවද හරි දවසක් ඔය  administer role එකක්කරොත් තමන්ගේ service ගන්න පුද්ගලයෙක් අසාධාරණයක් උනොත් පිලිසරණ ක් නැ මොලෙ පරිණත වෙලානැ එකතාමා  අවුල,Neutral,අපාරාද කියන්න බැ මෙක ඉ මිනිස කවද හරි දවස ඔය   එකක්කර තම  ග පුද්ගලය අසාධාරනය උන පිලිසරන නැ මොල පරිනත වෙලානැ එකතාම අවු
460,දුම්රියේ යන කට්ටියගෙන් මෙච්චර කල් කිසි උදව්වක් ඉල්ලලා නෑ මංඅද පොඩි උදව්වක් ඉල්ලන්න කල්පනා කරා   Train ඇප් එකට Vote කරලා උදව්වක් කරන්නහැමදාම පරක්කු වෙන කෝච්චිය ගැන Update ගන්නවා වගේම සේවය ලබාගත් ,Neutral,දුම්රි කට්ටි මෙච්චර කල් කිසි උදව්ව ඉල්ල මංඅ පොඩි උදව්ව ඉල්ල කල්ප කරා  ඇප් එකට  කර උදව්ව කරන්නහැමදා පරක් කෝච්ච  ගන් වගේ සේව ලබාග
